Date,Open,High,Low,Close,Volume,MA200W,rising,from_above,evt_5pct,evt_4pct,evt_3pct,evt_2pct,evt_1pct,evt_touch,setup_start
1996-06-07,8.75,8.8125,8.5,8.6875,5682000,12.1340625,True,False,False,False,False,False,False,False,False
1996-06-14,8.6875,8.6875,8.0,8.125,7619000,12.15125,True,False,False,False,False,False,False,False,False
1996-06-21,8.0625,8.125,6.5,7.125,16285200,12.1653125,True,False,False,False,False,False,False,False,False
1996-06-28,7.0625,7.25,6.4375,6.8125,10940000,12.175625,True,False,False,False,False,False,False,False,False
1996-07-05,6.875,7.1875,6.6875,6.8125,5662800,12.181875,True,False,False,False,False,False,False,False,False
1996-07-12,6.8125,6.875,5.9375,6.0625,10066800,12.18125,False,False,False,False,False,False,False,False,False
1996-07-19,6.0625,6.0625,5.4375,5.5625,13400600,12.1784375,False,False,False,False,False,False,False,False,False
1996-07-26,5.5625,6.1875,5.125,6.1875,9816400,12.180625,True,False,False,False,False,False,False,False,False
1996-08-02,6.25,6.3125,5.875,6.25,6780000,12.18375,True,False,False,False,False,False,False,False,False
1996-08-09,6.25,7.125,6.0625,6.9375,10618200,12.18875,True,False,False,False,False,False,False,False,False
1996-08-16,6.9375,6.9375,6.5,6.5625,4701200,12.1890625,True,False,False,False,False,False,False,False,False
1996-08-23,6.5625,6.6875,6.3125,6.3125,4398600,12.1846875,False,False,False,False,False,False,False,False,False
1996-08-30,6.3125,6.5,6.0625,6.375,4258400,12.1753125,False,False,False,False,False,False,False,False,False
1996-09-06,6.375,6.375,6.0625,6.1875,2553600,12.165625,False,False,False,False,False,False,False,False,False
1996-09-13,6.3125,6.625,6.25,6.5,5464000,12.156875,False,False,False,False,False,False,False,False,False
1996-09-20,6.625,7.3125,6.5625,7.1875,11279800,12.146875,False,False,False,False,False,False,False,False,False
1996-09-27,7.125,8.125,7.0,7.375,15159600,12.1403125,False,False,False,False,False,False,False,False,False
1996-10-04,7.4375,7.5625,7.0625,7.25,4251200,12.1346875,False,False,False,False,False,False,False,False,False
1996-10-11,7.3125,8.5,7.25,8.0625,12219200,12.133125,False,False,False,False,False,False,False,False,False
1996-10-18,8.125,9.0,8.125,8.6875,14984400,12.1309375,False,False,False,False,False,False,False,False,False
1996-10-25,8.6875,8.9375,8.5,8.75,8811800,12.130625,False,False,False,False,False,False,False,False,False
1996-11-01,8.75,9.1875,8.625,8.875,9322800,12.1296875,False,False,False,False,False,False,False,False,False
1996-11-08,8.875,10.375,8.875,10.125,15321600,12.1321875,True,False,False,False,False,False,False,False,False
1996-11-15,10.0625,12.9375,9.8125,12.5625,41723800,12.145,True,False,False,False,False,False,False,False,False
1996-11-22,12.5,12.75,11.625,12.375,17281800,12.1575,True,True,False,False,True,True,True,True,False
1996-11-29,12.4375,12.625,12.0625,12.125,7216200,12.17125,True,True,False,False,False,False,True,True,False
1996-12-06,12.0625,13.25,11.3125,12.875,26805000,12.1865625,True,False,False,False,False,False,False,False,False
1996-12-13,13.0,14.1875,12.5625,14.0,21462800,12.203125,True,True,True,True,True,False,False,False,True
1996-12-20,13.9375,13.9375,12.5625,13.0,15142200,12.2128125,True,True,True,True,True,False,False,False,True
1996-12-27,13.0625,13.4375,12.8125,13.0625,3455800,12.22375,True,True,True,False,False,False,False,False,True
1997-01-03,13.0,14.125,12.4375,14.0,10078000,12.235625,True,True,True,True,True,True,False,False,True
1997-01-10,14.0,15.0625,13.375,13.875,24314400,12.245625,True,True,False,False,False,False,False,False,False
1997-01-17,14.8125,17.5,14.5,17.5,49704200,12.2765625,True,True,False,False,False,False,False,False,False
1997-01-24,17.3125,17.4375,15.8125,15.875,16487400,12.2990625,True,True,False,False,False,False,False,False,False
1997-01-31,16.0,18.0625,15.375,17.5625,21009800,12.3334375,True,True,False,False,False,False,False,False,False
1997-02-07,17.5625,17.8125,15.875,17.25,13328200,12.3575,True,True,False,False,False,False,False,False,False
1997-02-14,17.3125,17.5,15.6875,16.9375,16611800,12.381875,True,True,False,False,False,False,False,False,False
1997-02-21,16.9375,18.375,16.75,17.375,15861000,12.3925,True,True,False,False,False,False,False,False,False
1997-02-28,17.5,18.4375,17.1875,18.0,14605400,12.4121875,True,True,False,False,False,False,False,False,False
1997-03-07,17.75,20.0,17.6875,19.75,20696200,12.4371875,True,True,False,False,False,False,False,False,False
1997-03-14,19.75,24.25,19.4375,22.25,54738000,12.4771875,True,True,False,False,False,False,False,False,False
1997-03-21,21.75,22.875,18.5625,19.5625,40909000,12.5028125,True,True,False,False,False,False,False,False,False
1997-03-28,19.5,21.8125,17.8125,20.5,30930000,12.53375,True,True,False,False,False,False,False,False,False
1997-04-04,20.6875,21.25,18.25,19.8125,41776600,12.5628125,True,True,False,False,False,False,False,False,False
1997-04-11,20.25,22.5,18.5,19.125,38087600,12.605625,True,True,False,False,False,False,False,False,False
1997-04-18,19.25,19.8125,18.375,18.375,21162200,12.645625,True,True,False,False,False,False,False,False,False
1997-04-25,18.375,20.875,17.5,20.3125,28609000,12.69375,True,True,False,False,False,False,False,False,False
1997-05-02,20.3125,22.125,20.0625,22.0,19039000,12.7440625,True,True,False,False,False,False,False,False,False
1997-05-09,22.125,22.875,21.25,22.5,24345800,12.794375,True,True,False,False,False,False,False,False,False
1997-05-16,22.5,22.5625,21.25,21.3125,15094600,12.8434375,True,True,False,False,False,False,False,False,False
1997-05-23,21.25,21.4375,19.75,20.4375,21854800,12.8846875,True,True,False,False,False,False,False,False,False
1997-05-30,20.5,21.8125,18.625,20.0,20608000,12.925,True,True,False,False,False,False,False,False,False
1997-06-06,20.8125,20.8125,18.25,19.3125,26785200,12.9509375,True,True,False,False,False,False,False,False,False
1997-06-13,19.4375,20.6875,18.3125,18.4375,32347200,12.9675,True,True,False,False,False,False,False,False,False
1997-06-20,18.625,19.75,18.4375,18.46875,21075600,12.98234375,True,True,False,False,False,False,False,False,False
1997-06-27,18.4375,19.125,17.78125,17.875,18881400,12.99359375,True,True,False,False,False,False,False,False,False
1997-07-04,17.84375,18.46875,17.0,17.96875,16771800,13.0109375,True,True,False,False,False,False,False,False,False
1997-07-11,18.8125,20.0,18.28125,18.96875,32600600,13.03453125,True,True,False,False,False,False,False,False,False
1997-07-18,18.875,20.4375,18.5,18.65625,18141000,13.054375,True,True,False,False,False,False,False,False,False
